"arXiv:1805.00202","Patricia R. Barbosa, Yugandhar Sarkale, Edwin K. P. Chong, Yun Li, Sofia Suvorova, Bill Moran","eess.SP","We investigate the challenging problem of integrating detection, signal processing, target tracking, and adaptive waveform scheduling with lookahead in urban terrain. We propose a closed-loop active sensing system to address this problem by exploiting three distinct levels of diversity: (1) spatial diversity through the use of coordinated multistatic radars; (2) waveform diversity by adaptively scheduling the transmitted waveform; and (3) motion model diversity by using a bank of parallel filters matched to different motion models. Specifically, at every radar scan, the waveform that yields the minimum trace of the one-step-ahead error covariance matrix is transmitted; the received signal goes through a matched-filter, and curve fitting is used to extract range and range-rate measurements that feed the LMIPDA-VSIMM algorithm for data association and filtering. Monte Carlo simulations demonstrate the effectiveness of the proposed system in an urban scenario contaminated by dense and uneven clutter, strong multipath, and limited line-of-sight."
"arXiv:1805.00362","Guangyu Gao, Qijun Liang, Lihua Lei, Ju Zhou, Naijin Liu","eess.SP","A single-channel broadband microwave spectrum measurement shceme based on PRBS-free optical compressing sampling and homodyne detection is proposed. The distinct differences as well as advantages of this scheme from traditional ones are as following. Firstly, optical pulses at a far-less-than-Nyquist rate are used to sample the broadband MW signal in a single channel. The optical pulse generation is only by modulating cascaded intensity and phase modulators with a single RF tone instead of any high-speed coding sequence modulation. Secondly, the spectral characteristics of the optical pulses are easy to be optimized in optical domain for different requirements without bandwidth limitations of electrical devices. The principle of this scheme is analyzed in theory and the performance is investigated in numerical simulation with a multi-band microwave signal with 20 GHz spectral range and SNR at 61 dB. The MW signal is reconstructed in a high fidelity with relative reconstruction error at 0.01 and SFDR at 99 dBHz2/3. The potentials for further performance optimization in practice are also dicussed."
"arXiv:1805.00363","Mohammad A Hoque, Md Salman Ahmed, Jackeline Rios-Torres, Asad Khattak, Ramin Arvin","eess.SP","Vehicle-to-Vehicle (V2V) communication using Dedicated Short Range Communications (DSRC) technology provides promising benefits for drastically reducing vehicle collisions. A decentralized approach combined with DSRC allow vehicles in a highly mobile and complex network to send and receive safety messages with high reliability and low latency. Notably, there are many factors that may cause the system to become unreliable due to communication failures. While the reliability of V2V communication has been a subject of study by researchers, there is still open questions regarding how the placement of DSRC devices (inside or outside the host vehicle), the vehicle's interior elements or the differences in altitude can affect the V2V communications. This paper aims to provide experimental testing data and analysis to quantify the impact of relative vehicle speeds, differences in altitudes between two vehicles, and vehicle's interior obstacles (which can vary depending on the placement of DSRC device and when communicating with front vs. rear vehicles) on the reliability of V2V communications."
"arXiv:1805.00407","Jan M. Kelner","eess.SP","Efficient and precise location of emission sources in an urbanized environment is very important in electronic warfare. Therefore, unmanned aerial vehicles (UAVs) are increasingly used for such tasks. In this paper, we present the cooperation of several UAVs creating a wireless sensor network (WSN) that locates the emission source. In the proposed WSN, the location is based on spectrum sensing and the signal Doppler frequency method. The paper presents the concept of the system. Simulation studies are used to assess the efficiency of the cooperative WSN. In this case, the location effectiveness for the WSN is compared to the single UAV."
"arXiv:1805.00146","Manh Le Tran, Sunghwan Kim, Thomas Ketseoglou, Ender Ayanoglu","eess.SP","In this paper, we propose light-emitting diode (LED) selection that can be applied not only to the conventional Multiple-Input Multiple-Output (MIMO) case, but also to a larger MIMO configuration of generalized LED index modulation (GLIM) system with optical orthogonal frequency division multiplexing (OFDM) in visible light communication (VLC). Moreover, we derive a simplified implementation of the maximum a posteriori (MAP) detector when the number of LEDs is an even number larger than four. Simulation results show that the performance of MAP and LED selection is better than other detection algorithms for larger even numbers of LEDs and conventional GLIM for $4\times4$ transmission, respectively."
"arXiv:1805.00169","S. F. B. Pinto, R. C. de Lamare","eess.SP","In this work, we propose a subspace-based algorithm for DOA estimation which iteratively reduces the disturbance factors of the estimated data covariance matrix and incorporates prior knowledge which is gradually obtained on line. An analysis of the MSE of the reshaped data covariance matrix is carried out along with comparisons between computational complexities of the proposed and existing algorithms. Simulations focusing on closely-spaced sources, where they are uncorrelated and correlated, illustrate the improvements achieved."
"arXiv:1805.00604","Aryan Mobiny","eess.AS","In this paper, an architecture based on Long Short-Term Memory Networks has been proposed for the text-independent scenario which is aimed to capture the temporal speaker-related information by operating over traditional speech features. For speaker verification, at first, a background model must be created for speaker representation. Then, in enrollment stage, the speaker models will be created based on the enrollment utterances. For this work, the model will be trained in an end-to-end fashion to combine the first two stages. The main goal of end-to-end training is the model being optimized to be consistent with the speaker verification protocol. The end- to-end training jointly learns the background and speaker models by creating the representation space. The LSTM architecture is trained to create a discrimination space for validating the match and non-match pairs for speaker verification. The proposed architecture demonstrate its superiority in the text-independent compared to other traditional methods."
"arXiv:1805.00844","S. H. Alsamhi, Ou Ma, M. Samar Ansari, Qingliang Meng","eess.SP","Tremendous technology development in the field of Internet of Things (IoT) has changed the way we work and live. Although the numerous advantages of IoT are enriching our society, it should be reminded that the IoT also consumes energy, embraces toxic pollution and E-waste. These place new stress on the environments and smart world. In order to increase the benefits and reduce the harm of IoT, there is an increasing desire to move toward green IoT. Green IoT is seen as the future of IoT that is environmentally friendly. To achieve that, it is necessary to put a lot of measures to reduce carbon footprint, conserve fewer resources, and promote efficient techniques for energy usage. It is the reason for moving towards green IoT, where the machines, communications, sensors, clouds, and internet are alongside energy efficiency and reducing carbon emission. This paper presents a thorough survey of the current on-going research work and potential technologies of green IoT with an intention to provide some clues for future green IoT research."
"arXiv:1805.01125","Çağrı Göken, Alptekin Yılmaz, Onur Dizdar","eess.SP","Non-orthogonal multiple access (NOMA) is an enabling technique to support massive connectivity and utilize the radio resources more efficiently. A number of novel NOMA schemes have been proposed for 5G New Radio (NR) standards. In this study, we evaluate various 5G NOMA methods for different military communications scenarios. We also propose a novel, simple NOMA scheme based on separation of users via frozen bit signatures in polar codes. First, we provide the description of basic principles in each evaluated scheme, then we investigate and compare their performances under different system parameters such as spectral efficiency, overload factor and antenna number in various channel models. Finally, we provide the discussions and insights on the suitability of the evaluated schemes for the considered military scenarios based on simulations."
"arXiv:1805.01503","Anantha K. Karthik, Rick S. Blum","eess.SP","In this paper, we address the problem of target detection in passive multiple-input-multiple-output (MIMO) radar networks. A generalized likelihood ratio test is derived, assuming prior knowledge of the signal format used in the non-cooperative transmit stations. We consider scenarios in which the unknown transmitted signal uses either a linear digital modulation scheme or the Orthogonal Frequency-Division Multiplexing (OFDM) modulation scheme. These digital modulation schemes are used in popular standards including Code-Division Multiple Access (CDMA), Digital Video Broadcasting-Terrestrial (DVB-T) and Long Term Evaluation (LTE). The performance of the generalized likelihood ratio test in the known signal format case is often significantly more favorable when compared to the case that does not exploit this information. Further, the performance improves with increasing number of samples per symbol and, for a sufficiently large number of samples per symbol, the performance closely approximates that of an active radar with a known transmitted signal."
